ID,Titulo,Autores,Año,DOI,Introduccion,Metodologia,Analisis_Requerimientos,Entorno_Experimental,Tamaño_Dataset,Metricas_Rendimiento,Limitaciones,Discusiones,Implementacion_Software,Conclusion,Referencia_BibTeX,Accuracy_Num,Tipo_Publicacion,Venue,Metodologia_Categorizada,Dataset_Tipo,Metodologia_2x2,Metodologia_3x3,Periodo_Año,Entorno_3x3,Implementacion_Cruce,Limitacion_Cruce
118,Identifying risky driving behavior: a field study using instrumented vehicles,"Anna Charly, Tom V. Mathew",2023,10.1080/19427867.2023.2233782,"ABSTRACT Road crashes continue to be a leading cause of death globally, with most of these crashes reportedly occurring due to human factors. Traditional road safety assessment utilises geometric and traffic parameters that consider road design inadequacies and identify traffic conflicts.",,,,,,,These measures are computed based on continuous driving profiles collected using instrumented vehicles from a sample set of drivers on an expressway and are compared with historical crash data.,,"Using instrumented vehicles, this research effectively identifies risky driving behavior, aiding in road safety evaluation and guiding policymakers.","@article{charly2023identifying, author={Anna Charly and Tom V. Mathew}, title={Identifying risky driving behavior: a field study using instrumented vehicles}, journal={Transportation Letters}, year={2023}, doi={10.1080/19427867.2023.2233782}}",,Revista Científica (Journal),Transportation Letters,Sin especificar,No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2023 - 2024,No especificado,No especificado,No especificado
119,An End-to-End Online Traffic-Risk Incident Prediction in First-Person Dash Camera Videos,Hilmil Pradana,2023,10.3390/bdcc7030129,Predicting traffic risk incidents in first-person helps to ensure a safety reaction can occur before the incident happens for a wide range of driving scenarios and conditions. One challenge to building advanced driver assistance systems is to create an early warning system for the driver to react safely and accurately while perceiving the diversity of traffic-risk predictions in real-world applications.,,,,,"9.60 fps, 1.44 fps","To enrich the classification type, the metadata from the result of the first stage is sent to the second stage to handle the data limitation while training our classification model. Furthermore, the proposed method has the potential to assist distribution companies in evaluating the driving performance of their driver by automatically monitoring near-miss events and analyzing driving patterns for training programs to reduce future accidents.",,,"Our two-stage architecture effectively predicts traffic-risk incidents in first-person dash camera videos, improving driver safety and reducing future accidents.","@article{pradana2023endtoend, author={Hilmil Pradana}, title={An End-to-End Online Traffic-Risk Incident Prediction in First-Person Dash Camera Videos}, journal={Big Data Cogn. Comput.}, year={2023}, doi={10.3390/bdcc7030129}}",,Revista Científica (Journal),Big Data Cogn. Comput.,Sin especificar,No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2023 - 2024,No especificado,No especificado,Otros
120,European NCAP Driver State Monitoring Protocols: Prevalence of Distraction in Naturalistic Driving,"Megan D Mulhall, Kyle Wilson, Shiyan Yang, J. Kuo, T. Sletten, C. Anderson, M. Howard, S. Rajaratnam, Michelle Magee, A. Collins, Mike Lenné",2023,10.1177/00187208231194543,"Euro NCAP outlines distraction behaviours that DSM must detect to earn maximum safety points. Alerting rates will vary with protocol implementation, technology capability, and HMI strategies adopted by the OEMs, in turn impacting safety outcomes, user experience and acceptance of DSM technology.",,Euro NCAP outlines distraction behaviours that DSM must detect to earn maximum safety points.,Conducción naturalista / Vehículo real en vía pública,8 hours,,,,,"Distractions are prevalent in naturalistic driving, with single long distraction events being the most common, and less sophisticated Driver State Monitoring systems may miss significant events.","@article{mulhall2023european, author={Megan D Mulhall and Kyle Wilson and Shiyan Yang and J. Kuo and T. Sletten and C. Anderson and M. Howard and S. Rajaratnam and Michelle Magee and A. Collins and Mike Lenné}, title={European NCAP Driver State Monitoring Protocols: Prevalence of Distraction in Naturalistic Driving}, journal={Human Factors}, year={2023}, doi={10.1177/00187208231194543}}",,Revista Científica (Journal),Human Factors,Sin especificar,Video / Frames,Otras Metodologías,Otras / Híbrido / Tradicional,2023 - 2024,Vía pública / Real,No especificado,No especificado
121,"A Context-Aware, Computer-Vision-Based Approach for the Detection of Taxi Street-Hailing Scenes from Video Streams","Mahmoud Mastouri, Zied Bouyahia, Hedi Haddad, Leila Horchani, N. Jabeur",2023,10.3390/s23104796,"With the increasing deployment of autonomous taxis in different cities around the world, recent studies have stressed the importance of developing new methods, models and tools for intuitive human-autonomous taxis interactions (HATIs).",,,Entorno industrial / Laboral,,"80% accuracy, 84% precision, 84% recall, accuracy of 80","If some elements of the visual information are not detected, we use contextual information (such as space, time and weather) in order to evaluate the existence of implicit street-hailing cases.",,,"Our computer-vision method accurately detects taxi street-hailing scenes from video streams, with 80% accuracy, 84% precision, and 84% recall in realistic settings.","@article{mastouri2023contextaware, author={Mahmoud Mastouri and Zied Bouyahia and Hedi Haddad and Leila Horchani and N. Jabeur}, title={A Context-Aware, Computer-Vision-Based Approach for the Detection of Taxi Street-Hailing Scenes from Video Streams}, journal={Sensors (Basel, Switzerland)}, year={2023}, doi={10.3390/s23104796}}",80.0,Revista Científica (Journal),"Sensors (Basel, Switzerland)",Sin especificar,No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2023 - 2024,Otros,No especificado,Otros
122,Evaluation of intersection crashes using naturalistic driving data through the lens of future I-ADAS,"A. J. Galloway, Max Bareiss, T. Hasegawa, Rini Sherony, Luke E. Riexinger",2023,10.1080/15389588.2023.2237621,"However, these systems will encounter many challenges caused by the complexity of real-world driving conditions. The purpose of this study is to use real-world naturalistic driving data to conduct an initial exploration of the potential challenges for future I-ADAS in straight crossing path (SCP), left turn across path/lateral direction (LTAP/LD), and left turn across path/opposite direction (LTAP/OD) crash configurations.",,,Conducción naturalista / Vehículo real en vía pública,,,,,,"Future intersection advanced driver assistance systems (I-ADAS) may face challenges due to real-world driving conditions, such as sightline obstructions and driver distractions.","@article{galloway2023evaluation, author={A. J. Galloway and Max Bareiss and T. Hasegawa and Rini Sherony and Luke E. Riexinger}, title={Evaluation of intersection crashes using naturalistic driving data through the lens of future I-ADAS}, journal={Traffic Injury Prevention}, year={2023}, doi={10.1080/15389588.2023.2237621}}",,Revista Científica (Journal),Traffic Injury Prevention,Sin especificar,No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2023 - 2024,Vía pública / Real,No especificado,No especificado
123,Driver distraction and in-vehicle interventions: A driving simulator study on visual attention and driving performance.,"Roja Ezzati Amini, Christelle Al Haddad, Debapreet Batabyal, Isidora Gkena, Bart De Vos, A. Cuenen, T. Brijs, C. Antoniou",2023,10.1016/j.aap.2023.107195,,,,Simulador de conducción / Entorno virtual,,,,,,"Distracted driving, involving mobile phone usage, significantly affects driver behavior and performance, with higher gaze points towards the i-DREAMS intervention display and lower longitudinal acceleration rates observed.","@article{amini2023distraction, author={Roja Ezzati Amini and Christelle Al Haddad and Debapreet Batabyal and Isidora Gkena and Bart De Vos and A. Cuenen and T. Brijs and C. Antoniou}, title={Driver distraction and in-vehicle interventions: A driving simulator study on visual attention and driving performance.}, journal={Accident; analysis and prevention}, year={2023}, doi={10.1016/j.aap.2023.107195}}",,Revista Científica (Journal),Accident; analysis and prevention,Sin especificar,No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2023 - 2024,Otros,No especificado,No especificado
124,Young Novice Drivers’ Cognitive Distraction Detection: Comparing Support Vector Machines and Random Forest Model of Vehicle Control Behavior,"Qingwan Xue, Xingyue Wang, Yinghong Li, Weiwei Guo",2023,10.3390/s23031345,"The use of mobile phones has become one of the major threats to road safety, especially in young novice drivers. A driving simulator experiment was conducted in this paper to better explore the relationship between drivers' cognitive distractions and traffic safety, and to better analyze the mechanism of distracting effects on young drivers during the driving process.","SVM, Random Forest",,Simulador de conducción / Entorno virtual,36 participants,,,"Results demonstrated that the SVM model with parameter optimization outperformed the random forest model in all aspects, among which the genetic algorithm had the best parameter optimization effect.",,"The SVM model with parameter optimization effectively detects cognitive distractions in young novice drivers, providing support for adaptive distraction mitigation systems.","@article{xue2023young, author={Qingwan Xue and Xingyue Wang and Yinghong Li and Weiwei Guo}, title={Young Novice Drivers’ Cognitive Distraction Detection: Comparing Support Vector Machines and Random Forest Model of Vehicle Control Behavior}, journal={Sensors (Basel, Switzerland)}, year={2023}, doi={10.3390/s23031345}}",,Revista Científica (Journal),"Sensors (Basel, Switzerland)",Machine Learning (ML),Sujetos Humanos,Otras Metodologías,Machine Learning (ML),2023 - 2024,Otros,No especificado,No especificado
125,Real-time driving risk assessment based on the psycho-physical field,"Duo Zhang, Jian Sun, Junhua Wang, Rongjie Yu",2023,10.1080/19439962.2023.2208065,"Abstract Real-time Driving Risk Assessment (RDRA) is a critical component of traffic safety and is influenced by confounding impacts from drivers, surrounding vehicles, and roadway conditions. The results showed that the proposed method can provide accurate risk evaluations, and identify potential hazards about 2 s in advance for high-risk cut-in events.",,,Conducción naturalista / Vehículo real en vía pública,,,,"Moreover, the adaptability was further validated through three cases and compared with the risk warning functions of Mobileye.",,The Psycho-Physical Field (PPF) framework effectively assesses real-time driving risks and can identify potential hazards up to 2 seconds in advance for high-risk cut-in events.,"@article{zhang2023realtime, author={Duo Zhang and Jian Sun and Junhua Wang and Rongjie Yu}, title={Real-time driving risk assessment based on the psycho-physical field}, journal={Journal of Transportation Safety & Security}, year={2023}, doi={10.1080/19439962.2023.2208065}}",,Revista Científica (Journal),Journal of Transportation Safety & Security,Sin especificar,No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2023 - 2024,Vía pública / Real,No especificado,No especificado
126,RFDANet: an FMCW and TOF radar fusion approach for driver activity recognition using multi-level attention based CNN and LSTM network,"M. Gu, Kaiyu Chen, Zhixiang Chen",2023,10.1007/s40747-023-01236-8,Dangerous driving behavior is a major contributing factor to road traffic accidents. Identifying and intervening in drivers’ unsafe driving behaviors is thus crucial for preventing accidents and ensuring road safety.,"CNN (Redes Convolucionales), LSTM, Deep Learning",,,,accuracy of 94.5,"However, many of the existing methods for monitoring drivers’ behaviors rely on computer vision technology, which has the potential to invade privacy.",,,"The RFDANet deep learning method effectively identifies five types of driving behavior using FMCW and TOF radar, with an average accuracy of 94.5%.","@article{gu2023rfdanet, author={M. Gu and Kaiyu Chen and Zhixiang Chen}, title={RFDANet: an FMCW and TOF radar fusion approach for driver activity recognition using multi-level attention based CNN and LSTM network}, journal={Complex & Intelligent Systems}, year={2023}, doi={10.1007/s40747-023-01236-8}}",94.5,Revista Científica (Journal),Complex & Intelligent Systems,Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2023 - 2024,No especificado,No especificado,Otros
127,Robust real-time traffic light detector on small-form platform for autonomous vehicles,"Gelayol Golcarenarenji, Ignacio Martinez-Alpiste, Qi Wang, J. M. A. Calero",2023,10.1080/15472450.2023.2205018,Abstract Timely and accurate detection and recognition of traffic lights are critical for Autonomous Vehicles (AVs) to avoid crashes due to red light running. This solution is expected to promote the quicker adoption and wider deployment of AVs by increasing the chances of avoiding crashes and ultimately saving lives.,"CNN (Redes Convolucionales), Machine Learning",,,01 Frames,"93.42% accuracy, 30.01 Frames Per Second",,,NVIDIA Jetson / GPU,"This paper presents a real-time traffic light detector on small-form platforms, achieving 93.42% accuracy and promoting the adoption of autonomous vehicles by reducing crashes and saving lives.","@article{golcarenarenji2023robust, author={Gelayol Golcarenarenji and Ignacio Martinez-Alpiste and Qi Wang and J. M. A. Calero}, title={Robust real-time traffic light detector on small-form platform for autonomous vehicles}, journal={Journal of Intelligent Transportation Systems}, year={2023}, doi={10.1080/15472450.2023.2205018}}",93.42,Revista Científica (Journal),Journal of Intelligent Transportation Systems,Híbrido (ML + DL),Video / Frames,Otras Metodologías,Otras / Híbrido / Tradicional,2023 - 2024,No especificado,Edge Computing,No especificado
128,Detection of traffic rule violation in University campus using deep learning model,"Pooja Chaturvedi, Kruti Lavingia, Gaurang Raval",2023,10.1007/s13198-023-02107-8,Abstract Implementing and monitoring traffic rules are essential for reducing accident rates and traffic rule violations.,"YOLO, Deep Learning",Abstract Implementing and monitoring traffic rules are essential for reducing accident rates and traffic rule violations.,Videovigilancia / CCTV,,,"The system is trained on the considered dataset, and the best weights are used to implement the model.",,CCTV / Cámaras,"The proposed deep learning model effectively detects traffic rule violations in university campuses, reducing accidents and promoting responsible driving.","@article{chaturvedi2023traffic, author={Pooja Chaturvedi and Kruti Lavingia and Gaurang Raval}, title={Detection of traffic rule violation in University campus using deep learning model}, journal={International Journal of System Assurance Engineering and Management}, year={2023}, doi={10.1007/s13198-023-02107-8}}",,Revista Científica (Journal),International Journal of System Assurance Engineering and Management,Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2023 - 2024,Cámaras (CCTV),Cámaras / CCTV,Otros
129,Network Anomaly Intrusion Detection Based on Deep Learning Approach,"Yung-Chung Wang, Yi-Chun Houng, Han-Xuan Chen, S. Tseng",2023,10.3390/s23042171,"The prevalence of internet usage leads to diverse internet traffic, which may contain information about various types of internet attacks.","CNN (Redes Convolucionales), LSTM, Deep Learning",,,,,,"Compared with the intrusion detection system (IDS) of other papers, the proposed model effectively improves the detection performance.",,"The proposed deep learning models effectively improve network anomaly detection performance, with DNN, RNN, and CNN models showing higher accuracy than combinations of CNN + RNN and CNN + LSTM.","@article{wang2023network, author={Yung-Chung Wang and Yi-Chun Houng and Han-Xuan Chen and S. Tseng}, title={Network Anomaly Intrusion Detection Based on Deep Learning Approach}, journal={Sensors (Basel, Switzerland)}, year={2023}, doi={10.3390/s23042171}}",,Revista Científica (Journal),"Sensors (Basel, Switzerland)",Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2023 - 2024,No especificado,No especificado,No especificado
130,Traffic Congestion Detection from Surveillance Videos using Deep Learning,"G. Madhavi, Ajmeera Kiran, A. D. Bhavani, N. T. Chitra, Y. S. Reddy, Pundru Chandra, Shaker Reddy",2023,10.1109/ic2e357697.2023.10262545,"Numerous worrisome and aberrant actions, such as theft, aggression, and accidents, make it difficult to notice and recognise such behaviour in a real-world setting. The VTSS is employed to identify unusual occurrences on various roads and highways, such as traffic congestion and car accidents.","CNN (Redes Convolucionales), Deep Learning",,Videovigilancia / CCTV,,,"A dataset of anomalous photographs, called the Vehicle Accident Image Dataset (VAID), was created and used in the training of the CNN model. The proposed method was put through its paces by analysing data gathered from running the trained CNN model on a number of different films.",,CCTV / Cámaras,"Convolutional neural networks (CNNs) with a rolling prediction method successfully detect traffic accidents in surveillance footage, achieving a 93% success rate.","@inproceedings{madhavi2023traffic, author={G. Madhavi and Ajmeera Kiran and A. D. Bhavani and N. T. Chitra and Y. S. Reddy and Pundru Chandra and Shaker Reddy}, title={Traffic Congestion Detection from Surveillance Videos using Deep Learning}, booktitle={2023 International Conference on Computer, Electronics & Electrical Engineering & their Applications (IC2E3)}, year={2023}, doi={10.1109/ic2e357697.2023.10262545}}",,Conferencia (Conference),"2023 International Conference on Computer, Electronics & Electrical Engineering & their Applications (IC2E3)",Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2023 - 2024,Cámaras (CCTV),Cámaras / CCTV,Otros
131,Smart City Transportation: Deep Learning Ensemble Approach for Traffic Accident Detection,"Victor A. Adewopo, Nelly Elsayed",2023,10.1109/access.2024.3387972,"The dynamic and unpredictable nature of road traffic necessitates effective accident detection methods for enhancing safety and streamlining traffic management in smart cities. This paper offers a comprehensive exploration study of prevailing accident detection techniques, shedding light on the nuances of other state-of-the-art methodologies while providing a detailed overview of distinct traffic accident types like rear-end collisions, T-bone collisions, and frontal impact accidents.",Deep Learning,,,,,"The I3D-CONVLSTM2D RGB + Optical-Flow (trainable) model outperformed its counterparts, achieving an impressive 87% Mean Average Precision (MAP).","The I3D-CONVLSTM2D RGB + Optical-Flow (trainable) model outperformed its counterparts, achieving an impressive 87% Mean Average Precision (MAP).",,"The I3D-CONVLSTM2D model effectively detects traffic accidents in smart cities, achieving 87% Mean Average Precision, outperforming other methods and addressing data imbalances.","@article{adewopo2023smart, author={Victor A. Adewopo and Nelly Elsayed}, title={Smart City Transportation: Deep Learning Ensemble Approach for Traffic Accident Detection}, journal={IEEE Access}, year={2023}, doi={10.1109/access.2024.3387972}}",,Revista Científica (Journal),IEEE Access,Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2023 - 2024,No especificado,No especificado,Otros
132,A Deep-Learning Approach to Driver Drowsiness Detection,"Mohammed Imran Basheer Ahmed, Halah Alabdulkarem, Fatimah Alomair, Dana Aldossary, Manar Alahmari, Munira Alhumaidan, Shoog Alrassan, Atta Rahman, Mustafa M. Youldash, Gohar Zaman",2023,10.3390/safety9030065,"Drowsy driving is a widespread cause of traffic accidents, especially on highways. It has become an essential task to seek an understanding of the situation in order to be able to take immediate remedial actions to detect driver drowsiness and enhance road safety.",CNN (Redes Convolucionales),It has become an essential task to seek an understanding of the situation in order to be able to take immediate remedial actions to detect driver drowsiness and enhance road safety.,,2900 images,,,,,"The proposed deep-learning model accurately detects driver drowsiness using eye movements, enhancing road safety.","@article{ahmed2023deeplearning, author={Mohammed Imran Basheer Ahmed and Halah Alabdulkarem and Fatimah Alomair and Dana Aldossary and Manar Alahmari and Munira Alhumaidan and Shoog Alrassan and Atta Rahman and Mustafa M. Youldash and Gohar Zaman}, title={A Deep-Learning Approach to Driver Drowsiness Detection}, journal={Safety}, year={2023}, doi={10.3390/safety9030065}}",,Revista Científica (Journal),Safety,Deep Learning (DL),Imágenes,Deep Learning (DL),Deep Learning (DL),2023 - 2024,No especificado,No especificado,No especificado
133,Detection of Drowsiness among Drivers Using Novel Deep Convolutional Neural Network Model,"Fiaz Majeed, Umair Shafique, Mejdl S. Safran, Sultan Alfarhood, Imran Ashraf",2023,10.3390/s23218741,Detecting drowsiness among drivers is critical for ensuring road safety and preventing accidents caused by drowsy or fatigued driving. Research on yawn detection among drivers has great significance in improving traffic safety.,"CNN (Redes Convolucionales), Deep Learning",,,,accuracy of 96.69,Models are trained and tested involving the original and augmented dataset to analyze the impact on model performance.,Performance comparison with existing state-of-the-art approaches shows better performance of the proposed model.,,"The proposed deep convolutional neural network model accurately detects drowsiness among drivers with an average accuracy of 96.69%, improving traffic safety.","@article{majeed2023drowsiness, author={Fiaz Majeed and Umair Shafique and Mejdl S. Safran and Sultan Alfarhood and Imran Ashraf}, title={Detection of Drowsiness among Drivers Using Novel Deep Convolutional Neural Network Model}, journal={Sensors (Basel, Switzerland)}, year={2023}, doi={10.3390/s23218741}}",96.69,Revista Científica (Journal),"Sensors (Basel, Switzerland)",Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2023 - 2024,No especificado,No especificado,Otros
134,Traffic Signal Violation Detection Through Computer Vision,"Mohamed Yasir Mohamed Uvais, Vazeerudeen Abdul Hameed, Muhammad Ehsan Rana",2023,10.1109/icdabi60145.2023.10629616,"By improving overall traffic safety, the introduction of this approach is expected to have a substantial positive influence on people's ease. Law enforcement authorities are better able to respond quickly to risky driving practices, lowering the risk of accidents and enhancing traffic management, as a result of automated traffic infraction detection and reporting.",Deep Learning,,,,,,,,"Advanced computer vision-based traffic signal violation detection accurately detects and reports violations, improving traffic safety and law enforcement response.","@inproceedings{uvais2023traffic, author={Mohamed Yasir Mohamed Uvais and Vazeerudeen Abdul Hameed and Muhammad Ehsan Rana}, title={Traffic Signal Violation Detection Through Computer Vision}, booktitle={2023 4th International Conference on Data Analytics for Business and Industry (ICDABI)}, year={2023}, doi={10.1109/icdabi60145.2023.10629616}}",,Conferencia (Conference),2023 4th International Conference on Data Analytics for Business and Industry (ICDABI),Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2023 - 2024,No especificado,No especificado,No especificado
135,A data-driven approach for road accident detection in surveillance videos,"Ariba Zahid, Tehreem Qasim, Naeem Bhatti, Muhammad Zia",2023,10.1007/s11042-023-16193-0,"The use of machine learning and computer vision techniques for detecting road accidents is a challenging task due to the limited availability of accident data for training. Staging fake accidents with real cars is expensive, and car crashes are rare incidents in roadside CCTV footage.","CNN (Redes Convolucionales), ResNet, Machine Learning",,Simulador de conducción / Entorno virtual y Videovigilancia / CCTV,,,"The use of machine learning and computer vision techniques for detecting road accidents is a challenging task due to the limited availability of accident data for training. In order to detect real accidents in video footage, we fine-tune pre-trained deep convolutional neural networks on the manually generated fake accident frames.",The experimental results show that the fine-tuned AlexNet outperforms other models providing an 80% percent true positive rate when detecting anomalies (accidents) in real-world surveillance videos of UCF-Crime dataset.,CCTV / Cámaras,"Manually generated fake accident data can effectively train machine learning algorithms to detect real-world road accidents in surveillance videos, with an 80% true positive rate for AlexNet.","@article{zahid2023datadriven, author={Ariba Zahid and Tehreem Qasim and Naeem Bhatti and Muhammad Zia}, title={A data-driven approach for road accident detection in surveillance videos}, journal={Multimedia Tools and Applications}, year={2023}, doi={10.1007/s11042-023-16193-0}}",,Revista Científica (Journal),Multimedia Tools and Applications,Híbrido (ML + DL),No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2023 - 2024,Cámaras (CCTV),Cámaras / CCTV,Otros
136,Vision-Language Models Can Identify Distracted Driver Behavior From Naturalistic Videos,"Jiajing Chen, Jiyang Wang, Ameya Joshi, Senem Velipasalar, C. Hegde, Anuj Sharma, S. Sarkar",2023,10.1109/tits.2024.3381175,Recognizing the activities causing distraction in real-world driving scenarios is critical for ensuring the safety and reliability of both drivers and pedestrians on the roadways.,,,Conducción naturalista / Vehículo real en vía pública,,,"Conventional computer vision techniques are typically data-intensive and require a large volume of annotated training data to detect and classify various distracted driving behaviors, thereby limiting their generalization ability, efficiency and scalability. We aim to develop a generalized framework that showcases robust performance with access to limited or no annotated training data.",,,"CLIP-based driver activity recognition approach effectively identifies distracted driving behavior from naturalistic driving videos, offering state-of-the-art performance on zero-shot transfer, finetuning, and video-based models.","@article{chen2023visionlanguage, author={Jiajing Chen and Jiyang Wang and Ameya Joshi and Senem Velipasalar and C. Hegde and Anuj Sharma and S. Sarkar}, title={Vision-Language Models Can Identify Distracted Driver Behavior From Naturalistic Videos}, journal={IEEE Transactions on Intelligent Transportation Systems}, year={2023}, doi={10.1109/tits.2024.3381175}}",,Revista Científica (Journal),IEEE Transactions on Intelligent Transportation Systems,Sin especificar,No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2023 - 2024,Vía pública / Real,No especificado,Otros
137,Detection of Unsafe Driving and Drivers Behaviour Monitoring System,"Narsaiah Domala, Bilal Uddin Sufi Mohammed, Gouse Ali Khan, Mirza Ajwad Baig",2023,10.52783/cienceng.v11i1.374,"Vehicle crashes have the potential to cause significant financial and human losses, so driving safety is a major concern. We think that using our system asvaluable tool for enhancing driver safety and assisting law enforcement in enforcing safe driving practices.",Machine Learning,,,,,,,,"Our driver monitoring and unsafe driving detection system, using video data and machine learning algorithms, effectively reduces collision risk and enhances driver safety.","@inproceedings{domala2023unsafe, author={Narsaiah Domala and Bilal Uddin Sufi Mohammed and Gouse Ali Khan and Mirza Ajwad Baig}, title={Detection of Unsafe Driving and Drivers Behaviour Monitoring System}, booktitle={Proceeding International Conference on Science and Engineering}, year={2023}, doi={10.52783/cienceng.v11i1.374}}",,Conferencia (Conference),Proceeding International Conference on Science and Engineering,Machine Learning (ML),No especificado,Otras Metodologías,Machine Learning (ML),2023 - 2024,No especificado,No especificado,No especificado
138,Real-Time Deep Learning-Based Drowsiness Detection: Leveraging Computer-Vision and Eye-Blink Analyses for Enhanced Road Safety,"Furkat Safarov, Akhmedov Farkhod, A. Abdusalomov, R. Nasimov, Y. Cho",2023,10.3390/s23146459,Drowsy driving can significantly affect driving performance and overall road safety.,Deep Learning,,,,95.8% accuracy,"In this study, we used custom data for model training and experimental results were obtained for different candidates.",,,"Deep learning and computer-vision algorithms can effectively detect drowsiness in drivers, improving road safety.","@article{safarov2023realtime, author={Furkat Safarov and Akhmedov Farkhod and A. Abdusalomov and R. Nasimov and Y. Cho}, title={Real-Time Deep Learning-Based Drowsiness Detection: Leveraging Computer-Vision and Eye-Blink Analyses for Enhanced Road Safety}, journal={Sensors (Basel, Switzerland)}, year={2023}, doi={10.3390/s23146459}}",95.8,Revista Científica (Journal),"Sensors (Basel, Switzerland)",Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2023 - 2024,No especificado,No especificado,Otros
139,Predicting perceived risk of traffic scenes using computer vision,"J. D. Winter, Jim Hoogmoed, J.C.J. Stapel, Dimitra Dodou, P. Bazilinskyy",2023,10.1016/j.trf.2023.01.014,,,,,,,,,,"Computer-vision features, such as the number of persons in a traffic scene and the mean size of bounding boxes, can accurately predict perceived risk in traffic scenes, potentially benefiting automated driving and traffic psychology.","@article{winter2023predicting, author={J. D. Winter and Jim Hoogmoed and J.C.J. Stapel and Dimitra Dodou and P. Bazilinskyy}, title={Predicting perceived risk of traffic scenes using computer vision}, journal={Transportation Research Part F: Traffic Psychology and Behaviour}, year={2023}, doi={10.1016/j.trf.2023.01.014}}",,Revista Científica (Journal),Transportation Research Part F: Traffic Psychology and Behaviour,Sin especificar,No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2023 - 2024,No especificado,No especificado,No especificado
140,Modeling driver behavior in critical traffic scenarios for the safety assessment of automated driving,"Alexandra Fries, Ludwig Lemberg, Felix Fahrenkrog, M. Mai, Arun Das",2023,10.1080/15389588.2023.2211187,"Objective: Before market introduction, the safety of highly automated driving systems needs to be assessed prospectively. BMW has developed a holistic approach for the assessment of the traffic safety impact by these systems in which stochastic traffic simulations play a significant role.",,"Objective: Before market introduction, the safety of highly automated driving systems needs to be assessed prospectively.",Simulador de conducción / Entorno virtual y Conducción naturalista / Vehículo real en vía pública,,,,"Results: SCM is applied in three critical real-world traffic scenarios in which gaze behavior, brake reaction times and time-to-collisions are evaluated and compared to the real-world data.",,"The Stochastic Cognitive Model (SCM) accurately simulates realistic driver behavior in critical real-world traffic scenarios, enhancing the safety assessment of automated driving systems.","@article{fries2023modeling, author={Alexandra Fries and Ludwig Lemberg and Felix Fahrenkrog and M. Mai and Arun Das}, title={Modeling driver behavior in critical traffic scenarios for the safety assessment of automated driving}, journal={Traffic Injury Prevention}, year={2023}, doi={10.1080/15389588.2023.2211187}}",,Revista Científica (Journal),Traffic Injury Prevention,Sin especificar,No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2023 - 2024,Vía pública / Real,No especificado,No especificado
141,Enhancing Road Safety Through Accurate Detection of Hazardous Driving Behaviors With Graph Convolutional Recurrent Networks,"Pooyan Khosravinia, T. Perumal, Javad Zarrin",2023,10.1109/access.2023.3280473,"Car accidents remain a significant public safety issue worldwide, with the majority of them attributed to driver errors stemming from inadequate driving knowledge, non-compliance with regulations, and poor driving habits. To increase road safety, several studies proposed Driving Behavior Detection (DBD) systems that can differentiate between safe and unsafe driving behavior.",,,,,"accuracy of 97.5, accuracy of 98.1",,,Raspberry Pi,"The proposed Driving Behavior Detection system using Graph Convolutional Long Short-Term Memory networks improves accuracy and usability for public and non-public sensors, enhancing road safety.","@article{khosravinia2023enhancing, author={Pooyan Khosravinia and T. Perumal and Javad Zarrin}, title={Enhancing Road Safety Through Accurate Detection of Hazardous Driving Behaviors With Graph Convolutional Recurrent Networks}, journal={IEEE Access}, year={2023}, doi={10.1109/access.2023.3280473}}",97.5,Revista Científica (Journal),IEEE Access,Sin especificar,No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2023 - 2024,No especificado,Edge Computing,No especificado
